country,best_model,r2,rmse,mae,mape,formula
Brazil,Полиномиальная регрессия (степень 3),0.7548,327.8465,288.7887,22.1868,y = -51.3253 + 249.7645·x - 6.2779·x² - 0.0474·x^3
China,Полиномиальная регрессия (степень 3),0.9927,493.4613,378.3604,5.3630,y = 1219.7736 - 145.2432·x + 70.9483·x² - 1.4480·x^3
India,Полиномиальная регрессия (степень 3),0.9877,105.5673,81.0317,6.1812,y = 258.6758 + 98.6974·x + 1.1876·x² + 0.0145·x^3
Russia,Полиномиальная регрессия (степень 3),0.7748,303.7703,259.6285,26.1495,y = -406.0908 + 335.6268·x - 17.9192·x² + 0.3346·x^3
South Africa,Полиномиальная регрессия (степень 3),0.8493,36.0831,27.8785,9.9532,y = 38.1563 + 57.8991·x - 3.1163·x² + 0.0546·x^3
Egypt,Полиномиальная регрессия (степень 3),0.9055,36.7393,29.2365,14.4270,y = 74.4154 + 0.3120·x + 1.3486·x² - 0.0319·x^3
Ethiopia,Полиномиальная регрессия (степень 3),0.9990,0.9604,0.8180,1.3043,y = 22.9072 + 10.4869·x - 0.7531·x² + 0.0473·x^3
Indonesia,Полиномиальная регрессия (степень 3),0.9620,74.3163,61.3363,11.0278,y = 41.2434 + 49.6635·x + 0.9930·x² - 0.0371·x^3
Iran,Полиномиальная регрессия (степень 3),0.7407,76.2312,59.0740,20.2487,y = -48.9734 + 75.5157·x - 3.0555·x² + 0.0256·x^3
Saudi Arabia,Полиномиальная регрессия (степень 3),0.9294,80.9550,67.0148,13.0989,y = 38.0670 + 68.9200·x - 3.0022·x² + 0.0873·x^3
UAE,Полиномиальная регрессия (степень 3),0.9240,34.2271,28.2755,10.2210,y = 19.3346 + 46.7365·x - 2.0278·x² + 0.0380·x^3
