country,best_model,r2,rmse,mae,mape,equation,intercept,coeffs
Brazil,Линейная регрессия,0.9339,170.1980,126.3749,7.4597,ВВП = -368.9206 + 0.5302·экспорт + 13.1306·импорт - 0.1298·экспорт×импорт + 0.0587·экспорт² + 0.0523·импорт²,-368.92058829461706,"[0.5302274255476439, 13.13061103431655, -0.12979970984274028, 0.05866973143818759, 0.05233394512231481]"
China,Линейная регрессия,0.9769,879.0730,691.9452,11.0755,ВВП = 123.2265 - 0.1946·экспорт + 3.6178·импорт + 0.0063·экспорт×импорт - 0.0028·экспорт² - 0.0027·импорт²,123.22645404278639,"[-0.19464101954815294, 3.6178388805318624, 0.0062676462304080294, -0.002792751264559316, -0.002693952137883521]"
India,Полиномиальная (степень 2),0.9887,101.2875,65.5770,3.9001,Полиномиальная модель (смотри коэффициенты в отдельном поле),1126.3641736227498,полином
Russia,Полиномиальная (степень 2),0.9959,40.7448,33.1306,4.0032,Полиномиальная модель (смотри коэффициенты в отдельном поле),4.864072860721833e-07,полином
South Africa,Полиномиальная (степень 2),0.9697,16.1888,11.5534,3.7488,Полиномиальная модель (смотри коэффициенты в отдельном поле),162.10101856440946,полином
Egypt,Полиномиальная (степень 2),0.9646,22.4741,16.4356,8.5549,Полиномиальная модель (смотри коэффициенты в отдельном поле),813.490302825349,полином
Ethiopia,Полиномиальная (степень 2),0.9899,3.0700,2.3511,3.6827,Полиномиальная модель (смотри коэффициенты в отдельном поле),-37.0599092748605,полином
Indonesia,Полиномиальная (степень 2),0.9664,69.8588,49.2005,8.7930,Полиномиальная модель (смотри коэффициенты в отдельном поле),-1110.5761403787203,полином
Iran,Линейная регрессия,0.9512,33.0546,25.8557,7.6797,ВВП = -4.1116 - 2.3714·экспорт + 6.8159·импорт + 0.0079·экспорт×импорт + 0.0185·экспорт² - 0.0272·импорт²,-4.1116327588541886,"[-2.371387925964594, 6.815875960131308, 0.00789540023537988, 0.018513611347253895, -0.027240160570076048]"
Saudi Arabia,Полиномиальная (степень 2),0.9636,58.1339,45.3625,9.0120,Полиномиальная модель (смотри коэффициенты в отдельном поле),2344.9539324557213,полином
UAE,Полиномиальная (степень 2),0.9986,4.6247,3.6470,1.1556,Полиномиальная модель (смотри коэффициенты в отдельном поле),82.95087505550337,полином
